Abancourt,ABT
Abbaretz,AAR
Abbeville,ABB
Ablon-sur-Seine,ABL
Achiet-le-Grand,ACT
Achères Grand Cormier,GCR
Achères Ville,ACW
Agay,AGH
Agde,AGD
Agen,AGN
Agonac,AGA
Aguilcourt - Variscourt,AGK
Aigrefeuille le Thou,AGR
Aiguebelette-le-Lac,AGQ
Aiguebelle,AEB
Aigueperse,AGE
Aigues-Mortes,AIM
Aiguillon,AIN
Aillevillers,AIP
Ailly-sur-Noye,ASN
Ailly-sur-Somme,AYS
Aimargues,AIA
Aime - La Plagne,ANJ
Aiserey,ASI
Aix-en-Provence,AXP
Aix-en-Provence TGV,AXV
Aix-les-Bains le Revard,AIX
Aixe-sur-Vienne,ASV
Alaï,ALA
Albens,ABN
Albert,ALJ
Albertville,ALV
Albi,ALB
Albi Madeleine,ALM
Albias,ALE
Albigny - Neuville,VVN
Alençon,ALN
Allassac,AAA
Allenc,AEN
Alleyras,AES
Allée de la Tour Rendez-Vous,AET
Altkirch,ALK
Alès,ALS
Amagne - Lucquy,AMA
Ambazac,ABZ
Amboise,AMQ
Ambronay - Priay,AAI
Ambérieu-en-Bugey,AMB
Amiens,AMS
Amifontaine,AMF
Amilly Ouerray,AMY
Amplepuis,AMP
Ancenis,ANC
Anchamps,ACP
Anché - Voulon,ACV
Ancy-sur-Moselle,AYM
Andelot-en-Montagne,AND
Andrésy,ACY
Andrézieux-Bouthéon,ANZ
Angers Maître École,AME
Angers Saint-Laud,ASL
Angerville,AGV
Angoulins sur Mer,AOM
Angoulême,ANG
Anizy - Pinon,API
Annappes,ANP
Annecy,ANY
Annemasse,ANE
Anor,ANO
Anse,ANS
Anthéor Cap Roux,AHC
Antibes,ATB
Anvin,ANV
Apach,APJ
Appilly,APP
Arbanats,ABH
Arbois,AOI
Arc-et-Senans,ACA
Arcachon,ARC
Arches,ARH
Arenc Euroméditerranée,AEM
Arengosse,ARO
Argelès-sur-Mer,AMR
Argentan,ARG
Argenteuil,ARW
Argentière,AGI
Argenton-sur-Creuse,AGC
Arles,ARS
Arleux,ARX
Armentières,ARM
Arnage,AAG
Arnèke,ARN
Arpajon,ARP
Arras,ARR
Arrou,AOU
Ars-sur-Moselle,ASM
Artenay,ATY
Artix,ATI
Arvant,ARV
Ascq,ASC
Asnières-sur-Seine,AEE
Aspres-sur-Buëch,ASH
Assat,ATK
Assier,AER
Athis-Mons,ATH
Aubagne,AUB
Aubazines - Saint-Hilaire,ABA
Aubergenville Élisabethville,AEH
Aubiat,AUK
Aubie - Saint-Antoine,ATX
Aubiet,AIT
Aubigny-au-Bac,AAB
Aubigny-en-Artois,ABI
Aubigné-Racan,ABG
Aubin,AVB
Aubin-Saint-Vaast,AUV
Auboué,ABE
Aubrives,ARI
Aubusson,AOO
Auch,AUH
Auchy-lès-Hesdin,AHH
Audrieu,ADR
Audruicq,ADQ
Audun-le-Roman,ALR
Auffay,AUF
Aulnat Aéroport,AUL
Aulnay-sous-Bois,ABM
Aulnoye-Aymeries,AYE
Aumale,AUM
Aumont-Aubrac,AAU
Auneau,AUN
Auray,ARY
Aurec-sur-Loire,AEC
Aurillac,AUC
Auterive,AIE
Autun,AUP
Auvers-sur-Oise,AUW
